country,iso3c,targeted_pop_group,comments,date_implemented,source,source_type,link,category_final,code,measure_final
Albania,ALB,No,Create safe sanitary areas for non COVID-19 patients to be treated and Emergency/surgical interventions transferred to the University Trauma Hospital,2020-03-20,"Albania Ministry of Health ""MSHMS""",Government,https://shendetesia.gov.al/31380-2/,PH - Public health measures,PH11,PH11 - Strengthening the public health system
Albania,ALB,Yes,"Land borders: Montenegro (March 16, 2020), Kosovo (March 14, 2020) ""except citizens of Kosovo and Albania"" and Macedonia (March 16, 2020)// ALL Borders: Greece (10p.m March 15, 2020)""except commercial trade""",2020-03-14,US Embassy of Albania,Government,https://al.usembassy.gov/u-s-citizen-services/additional-resources/covid-19-information/,MR - Movement restrictions,MR3,MR3 - Border closure 
Albania,ALB,Yes,"emergency law ""normative act"" that can be approved by the government with immediate effect without the need for the prior approval of parliament which automatically executable fines for issues of non-complience",2020-03-22,BalkaninSight,Media,https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/,NA,NA,NA
Albania,ALB,Yes,All flights to and from Tirana airport will be suspended ** except Air Albania’s flights to and from Istanbul for humanitarian reasons.,2020-03-23,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,MR - Movement restrictions,MR8,MR8 - International flights suspension
Albania,ALB,Yes,No ferries to and from Italy until april 3,2020-03-23,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,MR - Movement restrictions,MR3,MR3 - Border closure 
Albania,ALB,Yes,"1. Social, cultural or political gatherings, either in enclosed or open-air spaces, are banned and fined: 5 million lek (40,000 euros). 2. Television stations are banned from having more than two people on their talk shows in the same room and will be fined 1 million leks (8,300 euros) for any violations. 3. fines and three-year bans for car drivers if they breach restrictions on movement.",2020-03-22,BalkaninSight,Media,https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/,SD - Social distancing,SD3,SD3 - Limit public gatherings
Albania,ALB,Yes,"Traders in food and medicines for unacceptable price rises and up to 10 million leks (83,000 euros) fines, if do not respect safety rules designed to combat infections",2020-03-22,BalkaninSight,Media,https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/,NA,NA,NA
Albania,ALB,Yes,"Private hospitals that refuse to offer their capacities when required can be fined by up to 5 million leks (40,000 euros).",2020-03-22,BalkaninSight,Media,https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/,PH - Public health measures,PH11,PH11 - Strengthening the public health system
Albania,ALB,Yes,"The highest fines, up to 10 million leks (83,000 euros), can be imposed on entities that trade in food or medicine without respecting safety rules designed to combat infections.",2020-03-22,BalkaninSight,Media,https://balkaninsight.com/2020/03/16/albania-mounts-millionaire-fines-against-covid-19/,PH - Public health measures,PH3,PH3 - General recommendations
Albania,ALB,No,"All restricitive measures (curfew, public service close, limit gatherings etc.) are now indefiitnely suspended until further notice",2020-04-02,Intenational SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,LD - Lockdown,LD3,LD3 - Partial lockdown
Albania,ALB,No,"16-hour curfew. Individuals are only allowed to leave their homes from 05:00 to 13:00. All movement is prohibited outside of those windows, including both vehicular traffic and pedestrian movement. Exceptions are made for healthcare workers and for the transport of food items, supplies and medicine. Grocery stores and banks are only permitted to open from 05:00 to 13:00.",2020-03-23,Intenational SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,MR - Movement restrictions,MR6,MR6 - Curfews
Albania,ALB,Yes,"Private car traffic and interurban transport will be banned across eight cities: Durres, Elbasan, Fier, Lezha, Lushnje, Shkodra, Tirana and Vlor between 13 March 06.00 and 16 March 00.00. Roads connecting Tirana and Durres to other parts of the country will also be closed during this timeframe and public transportation closed between/within the two cities.",2020-03-23,Intenational SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,MR - Movement restrictions,MR7,MR7 - Domestic travel restrictions
Algeria,DZA,No,NA,2020-03-05,xinhuanet,Media,http://www.xinhuanet.com/english/2020-03/05/c_138844004.htm,PH - Public health measures,PH2,PH2 - Awareness campaigns
Algeria,DZA,No,until 5th April,2020-03-12,US Embassy,Government,https://dz.usembassy.gov/covid-19-information/,SD - Social distancing,SD5,SD5 - Schools closure 
Algeria,DZA,Yes,Entry denied to people with symptoms,2020-03-12,US Embassy,Government,https://dz.usembassy.gov/covid-19-information/,MR - Movement restrictions,MR2,MR2 - Border checks 
Algeria,DZA,No,NA,2020-03-12,qantara 13/03/2020,Media,https://en.qantara.de/content/coronavirus-in-the-islamic-world-the-challenges-of-covid-19,SD - Social distancing,SD3,SD3 - Limit public gatherings
Algeria,DZA,No,"Banned all types of gatherings (including all houses of worhsip) until April 5, 2020",2020-03-20,US embassy of Algeria,Government,https://dz.usembassy.gov/covid-19-information/,SD - Social distancing,SD4,SD4 - Public services closure 
Algeria,DZA,No,All land borders.,2020-03-17,US embassy of Algeria,Government,https://dz.usembassy.gov/covid-19-information/,MR - Movement restrictions,MR3,MR3 - Border closure 
Algeria,DZA,No,"Suspension of all non-cargo international air and maritime travel. Suspension of all International commercial flights (March 20, 2020) Domestic flight suspension (March 22nd, 2020).",2020-03-20,US embassy of Algeria,Government,https://dz.usembassy.gov/covid-19-information/,MR - Movement restrictions,MR8,MR8 - International flights suspension
Algeria,DZA,No,Programs to disinfect mass transit and public areas,2020-03-20,US embassy of Algeria,Government,https://dz.usembassy.gov/covid-19-information/,PH - Public health measures,PH2,PH2 - Awareness campaigns
Algeria,DZA,Yes,Quarantining known confirmed COVID-19 cases within its borders,2020-03-18,US Embassy of Algeria,Government,https://dz.usembassy.gov/covid-19-information/,PH - Public health measures,PH5,PH5 - Introduction of quarantine policies
Algeria,DZA,Yes,All neighboring land countries,2020-03-17,US Embassy Algeria,Government,https://dz.usembassy.gov/covid-19-information/,MR - Movement restrictions,MR3,MR3 - Border closure 
Algeria,DZA,Yes,all domestic flights,2020-03-22,US Embassy Algeria,Government,https://dz.usembassy.gov/covid-19-information/,MR - Movement restrictions,MR7,MR7 - Domestic travel restrictions
Algeria,DZA,Yes,Bilda (complete confinement - all movement in and out is prohibited) and Algiers,2020-03-23,Gardaworld,Other organisations,https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7,LD - Lockdown,LD3,LD3 - Partial lockdown
Algeria,DZA,Yes,Bilda and Algiers from 7 pm to 7 am.,2020-03-23,Gardaworld,Other organisations,https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7,MR - Movement restrictions,MR6,MR6 - Curfews
Algeria,DZA,No,All taxis banned countrywide. Rail and public or private/public transport between wilayas has been suspended as well as public transport within urban centers.,2020-03-23,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,MR - Movement restrictions,MR7,MR7 - Domestic travel restrictions
Algeria,DZA,Yes,Government implements lockdown and curfew in Blida and Algiers,2020-03-23,Gardaworld,Other organisations,https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7,NA,NA,NA
Algeria,DZA,Yes,"expanded to include provences: Algiers, Batna, Tizi Ouzou, Setif, Tipaza, Constantine, Medea Oran, El Oued, Boumerdes, Bejaia, Ain Defla, Mostaganem and Bordj Bou Arreridj from 7 pm to 7 am.",2020-03-27,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,MR - Movement restrictions,MR6,MR6 - Curfews
Algeria,DZA,No,Extension on internal travel restrictions announced on 1 April will last from 22 March until 19 April,2020-04-01,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,MR - Movement restrictions,MR8,MR8 - International flights suspension
Algeria,DZA,No,"Suspension of domestic flights, rail links and other types of public transport. All taxis banned countrywide. Rail and public or private/public transport between wilayas has been suspended as well as public transport within urban centres.",2020-04-01,International SOS,Other organisations,https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening#MYS,MR - Movement restrictions,MR7,MR7 - Domestic travel restrictions
Angola,AGO,Yes,"China, South Korea, Iran, and Italy",2020-03-03,US Embassy,Government,https://ao.usembassy.gov/covid-19-information/,PH - Public health measures,PH4,PH4 - Health screenings in airports and border crossings
Angola,AGO,Yes,any nationality who presents with symptoms or who has traveled to China since the start of the outbreak,2020-03-03,US Embassy,Government,https://ao.usembassy.gov/covid-19-information/,PH - Public health measures,PH5,PH5 - Introduction of quarantine policies
Angola,AGO,No,"The National Molecular Biology Laboratory, installed in Luanda, more than three years ago, was authorized by the World Health Organization (WHO) to carry out tests on the new Coronavirus (Covid-19)",2020-03-11,All Africa,Media,https://allafrica.com/stories/202003100459.html,PH - Public health measures,PH2,PH2 - Awareness campaigns
Angola,AGO,No,"All international flights to and from Angola will be suspended as of Friday, March 20",2020-03-20,GardaWorld,Other organisations,https://www.garda.com/crisis24/news-alerts/324512/angola-authorities-suspend-international-flights-as-of-march-20-update-3,MR - Movement restrictions,MR8,MR8 - International flights suspension
Angola,AGO,Yes,"individuals who have transited through China, Hong Kong, Macao, South Korea, Iran, and Italy, will be prohibited from entering the country due to the ongoing coronavirus (COVID-19) outbreak.",2020-03-04,GardaWorld,Other organisations,https://www.garda.com/crisis24/news-alerts/324512/angola-authorities-suspend-international-flights-as-of-march-20-update-4,MR - Movement restrictions,MR10,MR10 - Visa restrictions
Angola,AGO,Yes,"Authorities are temporarily banning citizens of China, South Korea, Italy, Iran, Nigeria, Egypt, and Algeria from entering Angola who have travelled directly from those countries; the restriction does not apply to those traveling via a third country.",2020-03-01,GardaWorld,Other organisations,https://www.garda.com/crisis24/news-alerts/324512/angola-authorities-suspend-international-flights-as-of-march-20-update-5,MR - Movement restrictions,MR10,MR10 - Visa restrictions
Angola,AGO,Yes,the Angolan Ministry of Health announced that all travelers arriving from China will be placed under home quarantine,2020-02-06,GardaWorld,Other organisations,https://www.garda.com/crisis24/news-alerts/324512/angola-authorities-suspend-international-flights-as-of-march-20-update-6,PH - Public health measures,PH5,PH5 - Introduction of quarantine policies
Angola,AGO,Yes,"On Tuesday, March 17, government officials announced that all international flights to and from Angola will be suspended as of Friday, March 20",2020-03-20,GardaWorld,Other organisations,https://www.garda.com/crisis24/news-alerts/324512/angola-authorities-suspend-international-flights-as-of-march-20-update-3,MR - Movement restrictions,MR8,MR8 - International flights suspension
Angola,AGO,Yes,"Public and private higher and general education institutions in Angola are since March 23 shut for a period of 15 days,which may be extended in view of the pandemic situation in the country.",2020-03-23,All Africa,Media,https://allafrica.com/stories/202003240713.html,SD - Social distancing,SD5,SD5 - Schools closure 
Angola,AGO,Yes,"The Minister of Health, Sílvia Lutucuta, advised employers to allow their domestic workers to stay indoors as a way to prevent the spread of Covid-19 among Angolans.",2020-03-22,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/2/12/COVID-National-Overview,00adfc6e-c90b-4dac-8485-23ab8f05015f.html",PH - Public health measures,PH3,PH3 - General recommendations
Angola,AGO,No,"The Provincial Youth Council in Namibe carried out an intense public awareness campaign on methods of disease prevention, during which, young associates distributed pamphlets with statements about the pandemic and ways of prevention.",2020-03-22,All Africa,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/2/12/COVID-National-Overview,00adfc6e-c90b-4dac-8485-23ab8f05015f.html",PH - Public health measures,PH2,PH2 - Awareness campaigns
Angola,AGO,No,"The sale of dried game meat, on the informal market in Luena city, has been banned since Saturday, the 21st, as part of the implementation of measures to prevent infection by the new coronavirus (Covid - 19).",2020-03-22,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/2/12/COVID-National-Overview,00adfc6e-c90b-4dac-8485-23ab8f05015f.html",PH - Public health measures,PH2,PH2 - Awareness campaigns
Angola,AGO,No,15 day state of national emergency ordered by the President of the Republic from 27 Mar -,2020-03-27,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/politica/2020/2/13/Covid-Angola-declares-State-Emergency-from-March,c63029de-b7e8-4e3c-beae-c45f5285c9ff.html",NA,NA,NA
Angola,AGO,No,"The State of Emergency, which has entered in force in Angola since March 27, for a period of 15 days, exempts the free movement of citizens seeking to buy food and provide essential services to the population.",2020-03-27,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/politica/2020/2/13/Government-bans-people-from-remaining-streets,d6ac26dd-6238-4a09-be05-1219e353a4cb.html",NA,NA,NA
Angola,AGO,Yes,"The Angolan Government will prioritize the regular and free supply of water to health units, informal markets, quarantine centers and prisoners, within the framework of the contingency plan to prevent the spreading of the Coronavirus (Covid-19) pandemic in the country.",2020-03-27,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/politica/2020/2/13/Health-units-have-free-water-supply,8578a332-1d86-4292-8e12-b8b7dd1abcbc.html",PH - Public health measures,PH11,PH11 - Strengthening the public health system
Angola,AGO,No,"The health authorities of Cuanza Norte announced, Thursday, in Ndalatando, the opening of two centers for the screening and quarantine of suspected cases in Covid-19.",2020-03-27,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/2/13/COVID-Quarantine-center-created-for-suspected-cases,5f726e81-cb2b-4bda-ac25-07c7ccbcfbb7.html",PH - Public health measures,PH11,PH11 - Strengthening the public health system
Angola,AGO,Yes,"The government of the province of Namibe will, in the coming days, acquire transport means for the National Police staff deployed on the border areas (on the border with the Republic of Namibia), to improve the patrolling and people monitoring system.",2020-03-27,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/2/13/Covid-Transport-means-step-police-activity,b9042693-40fa-4eed-b131-e59438c6a662.html",MR - Movement restrictions,MR2,MR2 - Border checks 
Angola,AGO,Yes,"Central Bank defines rules for financial institutions operation. The National Bank of Angola (BNA) on Friday, instructed financial institutions to secure normal services supply, such as deposit of money, cash withdrawal and domestic and international transfers as well as the issuance of the customers' account statements.",2020-03-27,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/economia/2020/2/13/Central-Bank-defines-rules-for-financial-institutions-operation,23d8fc64-7252-4b03-af14-878d786cc22d.html",NA,NA,NA
Angola,AGO,Yes,Program for Strengthening the Social Protection was approved by the Economic Commission of the Council of Ministers,2020-03-26,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/economia/2020/2/13/Economic-Commission-approves-social-protection-strengthening,4bac2897-d9f5-4c16-bd39-39ed9e6bad95.html",NA,NA,NA
Angola,AGO,Yes,"Central hospital installs new ventilators. The Antonio Agostinho Neto Central Hospital of Lubango, in Huíla province, was reinforced, on Thursday, with two ventilating devices for intensive care beds, in an effort to fight the COVID-19 pandemic, which affects the country.",2020-03-26,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/2/13/COVID-Central-hospital-installs-new-ventilators,a610eca7-2081-4e06-b695-89bc77f01a70.html",PH - Public health measures,PH11,PH11 - Strengthening the public health system
Angola,AGO,Yes,Multi-Sector Brigade Seizes Expired Medicines,2020-03-26,All Africa,Media,https://allafrica.com/stories/202003260783.html,PH - Public health measures,PH11,PH11 - Strengthening the public health system
Angola,AGO,Yes,"World Bank has made available USD 15 million to support the Angolan Government's efforts to combat the new coronavirus (COVID-19), said on Thursday, the World Bank (WB) resident representative, Oliver Lambert.",2020-03-26,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/economia/2020/2/13/COVID-World-Bank-grants-USD-million,e61d0e55-3488-43ec-b443-73f625dc73eb.html",NA,NA,NA
Angola,AGO,Yes,"the country's formal and informal public markets are only open from six to 13:00 hours a day, taking into account the State of Emergency declared. During this period, traders will be able to sell only essential products, namely food, hygiene products, cooking gas, among others, according to the Minister of Territorial Administration and State Reform, Adão de Almeida.",2020-03-27,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/politica/2020/2/13/State-Emergency-limits-public-markets-opening-hours,99bdabff-df01-499f-8d23-017de43737ef.html",SD - Social distancing,SD4,SD4 - Public services closure 
Angola,AGO,No,"any staple products, fuel, medicine, equipment and expendable material for medical use are prohibited from leaving the national territory.",2020-03-27,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/politica/2020/2/13/State-Emergency-limits-public-markets-opening-hours,99bdabff-df01-499f-8d23-017de43737ef.html",NA,NA,NA
Angola,AGO,No,"The order also defines a provincial health fence, which prohibits entry and exit between the different provinces, and inter-provincial circulation is prohibited, exceptionally the entry and exit of essential good and sick people, as well as humanitarian aid.",2020-03-27,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/politica/2020/2/13/State-Emergency-limits-public-markets-opening-hours,99bdabff-df01-499f-8d23-017de43737ef.html",MR - Movement restrictions,MR7,MR7 - Domestic travel restrictions
Angola,AGO,Yes,"The process of organized and voluntary repatriation of Congolese refugees back to DRC, which began in October 2019, is suspended due to the spread of the Coronavirus (Covid-19) in this neighbouring country.",2020-03-26,All Africa,Media,https://allafrica.com/stories/202003270159.html,LD - Lockdown,LD2,LD2 - Lockdown of refugee/idp camps or other minorities
Angola,AGO,No,the Inter-ministerial Commission for the prevention and combat of the pandemic will open bank accounts for collecting donations for individual and collective assistance in a campaign called 'Juntos por Angola',2020-03-28,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/sociedade/2020/2/13/Minister-announces-solidarity-campaign,d647d45d-4688-4ef2-ba8e-db8c202fc55a.html",PH - Public health measures,PH2,PH2 - Awareness campaigns
Angola,AGO,No,Tanker trucks to assure water supply in Luanda. The official also informed that the emergency plan for free water distribution will cover the other provinces of the country.,2020-03-28,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/sociedade/2020/2/13/Tanker-trucks-assure-water-supply-Luanda,0c7101f0-4208-47be-8acf-97da41d36741.html",PH - Public health measures,PH11,PH11 - Strengthening the public health system
Angola,AGO,Yes,The Health minister said that as from Sunday (29th) gained the capacity to effect 50 to 100 Covid-19 tests a day.,2020-03-29,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/2/13/Covid-Angola-increaes-testing-capacity,69fb8d86-1adb-4362-bb4b-6bfad0b4b80b.html",PH - Public health measures,PH11,PH11 - Strengthening the public health system
Angola,AGO,Yes,"The municipality of Cuito, capital of the province of Bié, will have this week a Treatment Center for patients infected with COVID-19, with a capacity for 30 beds, located in the Cavanga II district.",2020-03-30,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/2/14/Covid-Cuito-unveils-treatment-center,f0d71f17-d47e-429d-9e13-d84aab4163c4.html",PH - Public health measures,PH11,PH11 - Strengthening the public health system
Angola,AGO,Yes,"The medical goods for the prevention and treatment of COVID-19, in the country, are subject to the regulated price regime, says the press release from last Friday Council of Ministers Session.",2020-03-27,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/2/14/Authorities-watch-over-COVID-medicine-prices,ee491bc9-ecfd-414a-a209-3a8e7332d8c4.html",PH - Public health measures,PH11,PH11 - Strengthening the public health system
Angola,AGO,Yes,The Health Ministry has allocated 72 million kwanzas to assist the central Cuanza Sul province to purchase bio-security materials and training of staff for the prevention of the COVID-19 in that region.,2020-03-30,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/2/14/COVID-Health-Ministry-allocates-AKZ-million-Cuanza-Sul,31de4222-7469-40b9-aee6-7c5f26bf2eb8.html",PH - Public health measures,PH11,PH11 - Strengthening the public health system
Angola,AGO,Yes,"The management of Hotel IU made available to the Government of the province of Huambo, a total of 60 rooms as a place of institutional quarantine, for suspected cases of the Covid-19 (new Coronavirus) pandemic.",2020-03-30,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/2/14/Covid-Hotel-provides-rooms-for-institutional-quarantine,b27a49c3-8616-4d3a-bff3-ec99d0fedebd.html",PH - Public health measures,PH11,PH11 - Strengthening the public health system
Angola,AGO,No,President tells people to stay home,2020-04-01,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/politica/2020/3/14/Covid-President-tells-people-stay-home,e42fa125-9e0f-4009-9f5e-d9f66bbecbcf.html",PH - Public health measures,PH2,PH2 - Awareness campaigns
Angola,AGO,Yes,Three hotels are available to deal with possible cases of coronairus in the province of Namibe,2020-04-01,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/3/14/Covid-Namibe-avails-three-hotels-for-quarantine,702a69cc-07e5-4aa6-bd4a-8368f5b0ec64.html",PH - Public health measures,PH11,PH11 - Strengthening the public health system
Angola,AGO,Yes,"The province of Luanda has 50 tanker trucks to distribute drinking water to the most needy people, under the contingency plan for the prevention of COVID-19 in the country.",2020-04-02,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/sociedade/2020/3/14/tanker-trucks-for-drinking-water-supply-Luanda,78b2ae21-7e46-4406-a3a3-c10a50f699c4.html",PH - Public health measures,PH11,PH11 - Strengthening the public health system
Angola,AGO,Yes,ERCA encourages media outlets to maintain professionalism,2020-04-02,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/3/14/COVID-ERCA-encourages-media-outlets-maintain-professionalism,b3bd1588-c84f-4db6-ab6a-6fee04f211b4.html",PH - Public health measures,PH3,PH3 - General recommendations
Angola,AGO,Yes,Angolan public television broadcasts school lessons,2020-04-01,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/institucional/2020/3/14/Angolan-public-television-broadcasts-school-lessons,045ed0b8-1112-4ba5-98ea-d24c14371533.html",SD - Social distancing,SD5,SD5 - Schools closure 
Angola,AGO,Yes,Zaire reinforces water supply to population in remote zones,2020-04-02,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/3/14/Covid-Zaire-reinforces-water-supply-population-remote-zones,406cd22b-6432-40ea-abe3-f322e0387bb1.html",PH - Public health measures,PH11,PH11 - Strengthening the public health system
Angola,AGO,Yes,Cacanda prison creates isolation rooms. the institution has already restricted all visits and meals from the inmates' relatives as preventive measures,2020-04-02,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/sociedade/2020/3/14/Covid-Cacanda-prison-creates-isolation-rooms,8d9bbe92-7032-4ed5-a678-7610c479867c.html",SD - Social distancing,SD1,SD1 - Changes in prison-related policies
Angola,AGO,Yes,National Insurance Company (ENSA-E.P) has made available three properties located in Luanda to support measures aimed at preventing COVID-19 pandemic in the country.,2020-04-03,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/saude/2020/3/14/COVID-ENSA-provides-facilities-financial-support,fa60b385-5200-44af-acf0-310b321e0e30.html",PH - Public health measures,PH11,PH11 - Strengthening the public health system
Angola,AGO,Yes,"Cleaning and sanitation firms step up efforts. They are Sambiente Lda, Recoflix, Elisal, Vista West, whose operation actions are expected to cover almost everywhere in the country's capital.",2020-04-03,ANGOP,Media,"http://www.angop.ao/angola/en_us/noticias/sociedade/2020/3/14/COVID-Cleaning-and-sanitation-firms-step-efforts,b25f5965-a483-4a38-b21d-3e1637aa323e.html",PH - Public health measures,PH11,PH11 - Strengthening the public health system
